SINAN | 2022/08/13 20:28:18.911 | Info | {"ReturnValue":{"Data":[{"Id":1,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":2500,"Description":"Sahibinden temiz"},{"Id":2,"BrandId":2,"ColorId":1,"ModelYear":2021,"DailyPrice":2000,"Description":"Dosta gider"},{"Id":3,"BrandId":3,"ColorId":2,"ModelYear":2022,"DailyPrice":2249,"Description":"Hafif kusurlu"}],"Success":true,"Message":"All cars get"},"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 20:43:11.860 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 20:43:14.885 | Info | {"ReturnValue":{"Data":[{"Id":1,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":2500,"Description":"Sahibinden temiz"},{"Id":2,"BrandId":2,"ColorId":1,"ModelYear":2021,"DailyPrice":2000,"Description":"Dosta gider"},{"Id":3,"BrandId":3,"ColorId":2,"ModelYear":2022,"DailyPrice":2249,"Description":"Hafif kusurlu"}],"Success":true,"Message":"All cars get"},"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 21:39:46.780 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 21:39:46.921 | Info | {"ReturnValue":{"Data":[{"Id":1,"Name":"White"},{"Id":2,"Name":"Black"},{"Id":3,"Name":"Grey"},{"Id":4,"Name":"Red"},{"Id":5,"Name":"Blue"}],"Success":true,"Message":"All colors get"},"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 23:02:48.208 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 23:02:48.317 | Info | {"ReturnValue":{"Data":[{"Id":1,"Name":"White"},{"Id":2,"Name":"Black"},{"Id":3,"Name":"Grey"},{"Id":4,"Name":"Red"},{"Id":5,"Name":"Blue"}],"Success":true,"Message":"All colors get"},"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 23:02:52.802 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 23:02:52.810 | Info | {"ReturnValue":{"Data":[{"Id":1,"Name":"White"},{"Id":2,"Name":"Black"},{"Id":3,"Name":"Grey"},{"Id":4,"Name":"Red"},{"Id":5,"Name":"Blue"}],"Success":true,"Message":"All colors get"},"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 16:49:59.287 | Info | {"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 16:50:00.733 | Info | {"ReturnValue":{"Success":true,"Message":"New car succesfully added."},"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":25,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 16:50:04.245 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 16:50:04.514 | Info | {"ReturnValue":{"Data":[{"Id":1,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":2500,"Description":"Sahibinden temiz"},{"Id":2,"BrandId":2,"ColorId":1,"ModelYear":2021,"DailyPrice":2000,"Description":"Dosta gider"},{"Id":3,"BrandId":3,"ColorId":2,"ModelYear":2022,"DailyPrice":2249,"Description":"Hafif kusurlu"},{"Id":15,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},{"Id":16,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},{"Id":17,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},{"Id":18,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},{"Id":19,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},{"Id":20,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},{"Id":21,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},{"Id":22,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},{"Id":23,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},{"Id":24,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},{"Id":25,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"}],"Success":true,"Message":"All cars get"},"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 16:52:17.369 | Info | {"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":0,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 16:52:18.822 | Info | {"ReturnValue":{"Success":true,"Message":"New car succesfully added."},"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":26,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":0,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 16:52:45.750 | Info | {"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":0,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 16:52:47.751 | Info | {"ReturnValue":{"Success":true,"Message":"New car succesfully added."},"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":27,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":0,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 16:53:57.692 | Info | {"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":0,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 16:53:58.198 | Error | {"ErrorMessage":"sd","MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":0,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogError | 
